season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,gsis_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,pfr_id,fantasy_data_id,sleeper_id,years_exp,headshot_url
1933,BOS,DL,E,0,ACT,Paul Collins,Paul,Collins,1907-10-31,74,203,Northern Colorado,,,,,,,,,,2,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/k00o3egumc7zoaffnn3g"
1933,BOS,DL,E,0,ACT,Ike Frankian,Malcolm,Frankian,1905-04-03,71,205,Northern Colorado,,,,,,,,,,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xbknuoqxc6wm5w6xrovh"
1933,BOS,DL,DG,0,ACT,George Hurley,George,Hurley,1909-10-19,72,200,Northern Colorado,,,,,,,,,,2,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ngmujkjrmtpaxuxbzqky"
1933,BOS,DL,DG,0,ACT,Marne Intrieri,Marino,Intrieri,1907-09-13,68,210,Northern Colorado,,,,,,,,,,2,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/u02on2fwcnx8juwehmcc"
1933,BOS,DL,DG,0,ACT,Jim MacMurdo,James,MacMurdo,1909-09-02,73,210,Northern Colorado,,,,,,,,,,2,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yi3cq4y7skybh6dzqm30"
1933,BOS,DL,DG,0,ACT,Mike Steponovich,Michael,Steponovich,1908-11-22,69,205,Northern Colorado,,,,,,,,,,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/uj5x8ffkeluuqpgo1goe"
1933,BOS,DL,E,0,ACT,Dale Waters,Dale,Waters,1909-05-27,74,212,Northern Colorado,,,,,,,,,,3,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zihaxradeflbcbffiuy2"
1933,BOS,OL,C,0,ACT,Orien Crow,John,Crow,1912-09-07,74,220,Northern Colorado,,,,,,,,,,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qot3tsnrrgse9ufwysl9"
1933,BOS,OL,OT,0,ACT,Turk Edwards,Albert,Edwards,1907-09-28,74,260,Northern Colorado,,,,,,,,,,2,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/njlw7t65qzqulroyeutc"
1933,BOS,OL,C,0,ACT,Larry Johnson,Lawrence,Johnson,1909-03-28,75,225,Northern Colorado,,,,,,,,,,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wot5igsdvwqwotnwfld2"
1933,BOS,OL,OT,0,ACT,Jack Riley,John,Riley,1909-06-13,75,220,Northern Colorado,,,,,,,,,,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ileht6zdlb4qzcxanlfj"
1933,BOS,OL,C,0,TRT,Dick Smith,Richard,Smith,1912-01-24,74,225,Northern Colorado,,,,,,,,,,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ju6guwjqx0ecisgeab7y"
1933,BOS,OL,OT,0,ACT,David Ward,David,Ward,1907-03-10,70,195,Northern Colorado,,,,,,,,,,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/muu3zz4k3z87dpkydvjy"
