season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,gsis_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,pfr_id,fantasy_data_id,sleeper_id,years_exp,headshot_url,ngs_position,week,game_type,status_description_abbr,football_name,esb_id,gsis_it_id,smart_id,entry_year,rookie_year,draft_club,draft_number
2012,ARZ,C,,66,Active,Scott Wedige,Scott,Wedige,1988-11-20,76,310,,00-0029356,,,,,,,,,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zoxfmdsffgil9su7oqkr",,17,REG,A01,Scott,WED604060,,,2012,2012,,
2012,ARZ,CB,,27,Active,Michael Adams,Michael,Adams,1985-06-17,68,181,,00-0025668,,,,,,,,,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/c6ustof4db1od2scnmv6",,17,REG,A01,Michael,ADA509576,,,2007,2007,ARZ,177
2012,ARZ,CB,,23,Active,Jamell Fleming,Jamell,Fleming,1989-05-05,71,206,,00-0029639,,,,,,,,,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jrisi7xq9ugwob6uu6kr",,17,REG,A01,Jamell,FLE257221,,,2012,2012,GB,19
2012,ARZ,CB,,22,Active,William Gay,William,Gay,1985-01-01,70,190,Louisville,00-0025557,10613,a2907a39-139b-483f-8369-e278c26a6951,8424,6211,3786,GayxWi99,4122,156,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fcsqfz4tqxk95aqcixsk",,17,REG,A01,William,GAY400290,,,2007,2007,ARZ,95
2012,ARZ,CB,,21,Active,Patrick Peterson,Patrick,Peterson,1990-07-11,73,219,Louisiana State,00-0027943,13980,9f3b934e-52d6-4e16-ae92-d3e60be10493,24792,7300,6157,PetePa00,13415,972,1,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nc3fjicv6kv0nc9ofo6r",,17,REG,A01,Patrick,PET415511,,,2011,2011,SF,94
2012,ARZ,CB,,28,Active,Gregory Toler,Gregory,Toler,1985-01-02,72,192,St. Paul's (VA),00-0026910,,,,,,,,,3,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fgotlhrhw2tr54bzfyhx",,17,REG,A01,Gregory,TOL296694,,,2009,2009,,
2012,ARZ,DE,,93,Active,Calais Campbell,Calais,Campbell,1986-09-01,80,300,Miami,00-0026190,11284,0333b8f0-3aab-45aa-a684-6d402a309413,8827,5587,4364,CampCa99,3341,125,4,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/iwzrhl7qp6toisge1an0",,17,REG,A01,Calais,CAM208843,,,2008,2008,ARZ,64
2012,ARZ,DE,,91,Active,Vonnie Holliday,Dimetry,Holliday,1975-12-11,77,288,,00-0007611,,,,,,,,,14,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ltcatlv0d4wlzeo5dova",,17,REG,A01,Vonnie,HOL229554,,,1998,1998,PHI,36
2012,ARZ,DE,,96,Inactive,Ronald Talley,Ronald,Talley,1986-02-21,75,286,,00-0026791,,,,,,,,,3,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rxn9xvcd92zvjxfowin1",,17,REG,I01,Ronald,TAL662347,,,2009,2009,,
2012,ARZ,DT,,90,Active,Darnell Dockett,Darnell,Dockett,1981-05-27,76,290,,00-0022930,,,,,,,,,8,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ymkwcdhxl0vvv5b51eaz",,17,REG,A01,Darnell,DOC428041,,,2004,2004,DEN,114
2012,ARZ,DT,,98,Active,Nick Eason,Nicholas,Eason,1980-05-29,75,305,,00-0022010,,,,,,,,,9,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xkbecs7spae27so0qrka",,17,REG,A01,Nick,EAS421290,,,2003,2003,ARZ,13
