season,week,season_type,team,player_name,player_id,fg_made,fg_missed,fg_blocked,fg_long,fg_att,fg_pct,pat_made,pat_missed,pat_blocked,pat_att,pat_pct,fg_made_distance,fg_missed_distance,fg_blocked_distance,gwfg_att,gwfg_distance,gwfg_made,gwfg_missed,gwfg_blocked,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list
1999,1,REG,ARI,C.Jacke,00-0008080,4,0,0,32,4,1,1,0,0,1,1,119,0,0,1,31,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,31;25;32;31,"",""
1999,1,REG,ATL,M.Andersen,00-0000282,0,2,0,0,2,0,2,0,0,2,1,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,"",35;39,""
1999,1,REG,BUF,S.Christie,00-0002975,2,0,0,36,2,1,0,0,0,0,,65,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,36;29,"",""
1999,1,REG,CAR,J.Kasay,00-0009028,1,1,0,52,2,0.5,1,0,0,1,1,52,53,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,52,53,""
1999,1,REG,CHI,B.Gowins,00-0006182,2,0,0,24,2,1,2,0,0,2,1,45,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,21;24,"",""
1999,1,REG,CIN,D.Pelfrey,00-0012742,2,0,0,38,2,1,1,0,0,1,1,71,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,33;38,"",""
1999,1,REG,DAL,R.Cunningham,00-0003762,0,0,0,0,0,,5,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",""
1999,1,REG,DEN,J.Elam,00-0004811,0,1,1,0,2,0,3,0,0,3,1,0,41,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"",41,44
1999,1,REG,DET,J.Hanson,00-0006800,2,0,0,51,2,1,2,1,0,3,0.667,100,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,51;49,"",""
1999,1,REG,GB,R.Longwell,00-0010072,0,0,0,0,0,,4,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",""
1999,1,REG,IND,M.Vanderjagt,00-0016830,1,0,1,35,2,0.5,4,0,0,4,1,35,0,45,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,35,"",45
1999,1,REG,JAX,M.Hollis,00-0007622,4,0,0,50,4,1,3,0,0,3,1,165,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,41;32;50;42,"",""
1999,1,REG,KC,P.Stoyanovich,00-0015791,1,1,0,27,2,0.5,2,0,0,2,1,27,38,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,27,38,""
1999,1,REG,LV,M.Husted,00-0007983,1,2,0,41,3,0.333,3,0,0,3,1,41,95,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,41,47;48,""
1999,1,REG,MIA,O.Mare,00-0010373,1,0,0,37,1,1,5,0,0,5,1,37,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,37,"",""
1999,1,REG,MIN,G.Anderson,00-0000313,1,1,1,36,3,0.333,2,0,0,2,1,36,30,26,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,36,30,26
1999,1,REG,NE,A.Vinatieri,00-0016919,3,0,0,33,3,1,3,0,0,3,1,77,0,0,1,23,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,33;21;23,"",""
1999,1,REG,NO,D.Brien,00-0001759,2,0,0,46,2,1,1,1,0,2,0.5,67,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,46;21,"",""
1999,1,REG,NYG,B.Daluiso,00-0003841,1,0,0,36,1,1,2,0,0,2,1,36,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,36,"",""
1999,1,REG,NYJ,J.Hall,00-0006662,0,0,0,0,0,,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",""
1999,1,REG,PHI,N.Johnson,00-0008593,1,0,0,25,1,1,3,0,0,3,1,25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25,"",""
1999,1,REG,PIT,K.Brown,00-0001980,3,0,0,28,3,1,4,0,1,5,0.8,66,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,19;28;19,"",""
1999,1,REG,SEA,T.Peterson,00-0012875,0,1,0,0,1,0,2,0,0,2,1,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"",32,""
1999,1,REG,SF,W.Richey,00-0013699,1,0,0,42,1,1,0,0,0,0,,42,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,42,"",""
1999,1,REG,TB,M.Gramatica,00-0006223,2,0,0,36,2,1,1,0,0,1,1,59,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,23;36,"",""
1999,1,REG,TEN,A.Del Greco,00-0004147,2,0,0,50,2,1,4,0,0,4,1,83,0,0,1,33,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,50;33,"",""
1999,1,REG,WAS,B.Conway,00-0003395,2,0,0,42,2,1,3,0,0,3,1,67,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,25;42,"",""
1999,2,REG,ARI,C.Jacke,00-0008080,3,1,0,44,4,0.75,1,0,0,1,1,118,32,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,36;44;38,32,""
1999,2,REG,ATL,M.Andersen,00-0000282,0,1,0,0,1,0,1,0,0,1,1,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"",49,""
1999,2,REG,BAL,M.Stover,00-0015784,2,0,0,45,2,1,2,0,0,2,1,73,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,45;28,"",""
1999,2,REG,BUF,S.Christie,00-0002975,1,2,0,35,3,0.333,2,0,0,2,1,35,89,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,35,44;45,""
1999,2,REG,CAR,J.Kasay,00-0009028,0,0,0,0,0,,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",""
1999,2,REG,CHI,B.Gowins,00-0006182,2,2,0,43,4,0.5,1,0,0,1,1,72,98,0,1,48,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,29;43,50;48,""
1999,2,REG,CIN,D.Pelfrey,00-0012742,0,0,0,0,0,,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",""
1999,2,REG,CLE,P.Dawson,00-0004091,1,0,0,41,1,1,0,0,0,0,,41,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,41,"",""
1999,2,REG,DAL,R.Cunningham,00-0003762,1,1,0,23,2,0.5,0,0,0,0,,23,47,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,23,47,""
1999,2,REG,DAL,T.Gowin,00-0006181,0,0,0,0,0,,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",""
1999,2,REG,DEN,J.Elam,00-0004811,1,0,0,50,1,1,1,0,0,1,1,50,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50,"",""
1999,2,REG,DET,J.Hanson,00-0006800,1,0,0,48,1,1,2,0,0,2,1,48,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,48,"",""
1999,2,REG,GB,R.Longwell,00-0010072,2,0,0,45,2,1,1,0,0,1,1,69,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,45;24,"",""
1999,2,REG,IND,M.Vanderjagt,00-0016830,0,0,0,0,0,,4,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",""
1999,2,REG,JAX,M.Hollis,00-0007622,3,1,0,40,4,0.75,1,0,0,1,1,107,49,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,36;40;31,49,""
1999,2,REG,KC,P.Stoyanovich,00-0015791,4,0,0,44,4,1,2,0,0,2,1,132,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,19;42;44;27,"",""
1999,2,REG,LAC,J.Carney,00-0002655,4,0,0,42,4,1,2,0,0,2,1,113,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,27;23;21;42,"",""
1999,2,REG,LV,M.Husted,00-0007983,3,0,0,42,3,1,1,0,0,1,1,115,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,36;37;42,"",""
